bundle_key,iteration,value,source_file,source_field,notes
bundle_generated_at,meta,2026-04-16T11:46:00Z,build_report_evidence_bundle.py,,
iter1_split_train_n,1,310,reports/split_summary.csv,n_queries,Train (CV)
iter1_split_train_fast,1,194,reports/split_summary.csv,fast,Train (CV)
iter1_split_train_slow,1,116,reports/split_summary.csv,slow,Train (CV)
iter1_split_test_n,1,64,reports/split_summary.csv,n_queries,Test
iter1_split_test_fast,1,55,reports/split_summary.csv,fast,Test
iter1_split_test_slow,1,9,reports/split_summary.csv,slow,Test
iter1_holdout_dbs,1,"financial, formula_1",reports/split_summary.csv,databases,Test
iter1_best_model,1,Logistic Regression,reports/all_models_test_comparison.csv,Model,by max Test F1
iter1_best_test_f1,1,0.5217391304347826,reports/all_models_test_comparison.csv,Test F1,
iter1_best_test_roc_auc,1,0.6444444444444444,reports/all_models_test_comparison.csv,Test ROC-AUC,
iter1_best_test_acc,1,0.828125,reports/all_models_test_comparison.csv,Test Accuracy,
iter1_perdb_financial_f1,1,0.125,reports/per_database_results.csv,f1,financial
iter1_perdb_financial_support,1,30,reports/per_database_results.csv,support,financial
iter1_perdb_formula_1_f1,1,0.3809523809523809,reports/per_database_results.csv,f1,formula_1
iter1_perdb_formula_1_support,1,34,reports/per_database_results.csv,support,formula_1
geometry_raw_rows,1_and_2,498,reports/classifier_geometries_summary.csv,raw_rows,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_labelled_rows,1_and_2,374,reports/classifier_geometries_summary.csv,labelled_rows,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_fast_rows,1_and_2,249,reports/classifier_geometries_summary.csv,fast_rows,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_slow_rows,1_and_2,125,reports/classifier_geometries_summary.csv,slow_rows,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_unseen_train_rows,1_and_2,310,reports/classifier_geometries_summary.csv,unseen_train_rows,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_unseen_test_rows,1_and_2,64,reports/classifier_geometries_summary.csv,unseen_test_rows,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_seen_train_rows,1_and_2,294,reports/classifier_geometries_summary.csv,seen_train_rows,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_seen_test_rows,1_and_2,80,reports/classifier_geometries_summary.csv,seen_test_rows,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_unseen_best_model,1_and_2,Random Forest,reports/classifier_geometries_summary.csv,unseen_best_model,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_unseen_f1,1_and_2,0.2702702702702703,reports/classifier_geometries_summary.csv,unseen_f1,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_unseen_roc_auc,1_and_2,0.5686868686868687,reports/classifier_geometries_summary.csv,unseen_roc_auc,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_unseen_accuracy,1_and_2,0.578125,reports/classifier_geometries_summary.csv,unseen_accuracy,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_seen_best_model,1_and_2,Gradient Boosting,reports/classifier_geometries_summary.csv,seen_best_model,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_seen_f1,1_and_2,0.2553191489361702,reports/classifier_geometries_summary.csv,seen_f1,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_seen_roc_auc,1_and_2,0.4567272727272727,reports/classifier_geometries_summary.csv,seen_roc_auc,"current worktree; unseen≈iter1 geometry, seen≈iter2"
geometry_seen_accuracy,1_and_2,0.5625,reports/classifier_geometries_summary.csv,seen_accuracy,"current worktree; unseen≈iter1 geometry, seen≈iter2"
commit_1a537e0_raw_rows,2_multi_commit,425,reports/commit_rerun_metrics.csv,raw_rows,1a537e0
commit_1a537e0_labelled_rows,2_multi_commit,320,reports/commit_rerun_metrics.csv,labelled_rows,1a537e0
commit_1a537e0_fast_rows,2_multi_commit,213,reports/commit_rerun_metrics.csv,fast_rows,1a537e0
commit_1a537e0_slow_rows,2_multi_commit,107,reports/commit_rerun_metrics.csv,slow_rows,1a537e0
commit_1a537e0_unseen_train_rows,2_multi_commit,265,reports/commit_rerun_metrics.csv,unseen_train_rows,1a537e0
commit_1a537e0_unseen_test_rows,2_multi_commit,55,reports/commit_rerun_metrics.csv,unseen_test_rows,1a537e0
commit_1a537e0_seen_train_rows,2_multi_commit,252,reports/commit_rerun_metrics.csv,seen_train_rows,1a537e0
commit_1a537e0_seen_test_rows,2_multi_commit,68,reports/commit_rerun_metrics.csv,seen_test_rows,1a537e0
commit_1a537e0_unseen_best_model,2_multi_commit,XGBoost,reports/commit_rerun_metrics.csv,unseen_best_model,1a537e0
commit_1a537e0_unseen_f1,2_multi_commit,0.1764705882352941,reports/commit_rerun_metrics.csv,unseen_f1,1a537e0
commit_1a537e0_unseen_roc_auc,2_multi_commit,0.54421768707483,reports/commit_rerun_metrics.csv,unseen_roc_auc,1a537e0
commit_1a537e0_unseen_accuracy,2_multi_commit,0.4909090909090909,reports/commit_rerun_metrics.csv,unseen_accuracy,1a537e0
commit_1a537e0_seen_best_model,2_multi_commit,Random Forest,reports/commit_rerun_metrics.csv,seen_best_model,1a537e0
commit_1a537e0_seen_f1,2_multi_commit,0.5,reports/commit_rerun_metrics.csv,seen_f1,1a537e0
commit_1a537e0_seen_roc_auc,2_multi_commit,0.6862648221343873,reports/commit_rerun_metrics.csv,seen_roc_auc,1a537e0
commit_1a537e0_seen_accuracy,2_multi_commit,0.6764705882352942,reports/commit_rerun_metrics.csv,seen_accuracy,1a537e0
commit_061f0ff_raw_rows,2_multi_commit,425,reports/commit_rerun_metrics.csv,raw_rows,061f0ff
commit_061f0ff_labelled_rows,2_multi_commit,320,reports/commit_rerun_metrics.csv,labelled_rows,061f0ff
commit_061f0ff_fast_rows,2_multi_commit,213,reports/commit_rerun_metrics.csv,fast_rows,061f0ff
commit_061f0ff_slow_rows,2_multi_commit,107,reports/commit_rerun_metrics.csv,slow_rows,061f0ff
commit_061f0ff_unseen_train_rows,2_multi_commit,269,reports/commit_rerun_metrics.csv,unseen_train_rows,061f0ff
commit_061f0ff_unseen_test_rows,2_multi_commit,51,reports/commit_rerun_metrics.csv,unseen_test_rows,061f0ff
commit_061f0ff_seen_train_rows,2_multi_commit,251,reports/commit_rerun_metrics.csv,seen_train_rows,061f0ff
commit_061f0ff_seen_test_rows,2_multi_commit,69,reports/commit_rerun_metrics.csv,seen_test_rows,061f0ff
commit_061f0ff_unseen_best_model,2_multi_commit,XGBoost,reports/commit_rerun_metrics.csv,unseen_best_model,061f0ff
commit_061f0ff_unseen_f1,2_multi_commit,0.2068965517241379,reports/commit_rerun_metrics.csv,unseen_f1,061f0ff
